run,tier,k,target,censors,total,hijacked,legit,no_route,hijack_rate,error
run_002,2,3,AS12,AS4;AS6;AS9,26,20,6,0,76.9,
run_002,2,4,AS12,AS4;AS6;AS9;AS5,25,25,0,0,100.0,
run_002,2,5,AS12,AS4;AS6;AS9;AS5;AS8,24,24,0,0,100.0,
run_002,2,6,AS12,AS4;AS6;AS9;AS5;AS8;AS7,23,23,0,0,100.0,
run_002,2,7,AS12,AS4;AS6;AS9;AS5;AS8;AS7;AS10,22,22,0,0,100.0,
run_002,3,1,AS12,AS23,28,3,25,0,10.7,
run_002,3,2,AS12,AS23;AS16,27,10,17,0,37.0,
run_002,3,3,AS12,AS23;AS16;AS17,26,9,17,0,34.6,
run_002,3,4,AS12,AS23;AS16;AS17;AS26,25,9,16,0,36.0,
run_002,3,5,AS12,AS23;AS16;AS17;AS26;AS29,24,12,12,0,50.0,
run_002,3,6,AS12,AS23;AS16;AS17;AS26;AS29;AS19,23,11,12,0,47.8,
run_002,3,7,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18,22,10,12,0,45.5,
run_002,3,8,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15,21,9,12,0,42.9,
run_002,3,9,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20,20,11,9,0,55.0,
run_002,3,10,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25,19,11,8,0,57.9,
run_002,3,11,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28,18,10,8,0,55.6,
run_002,3,12,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24,17,9,8,0,52.9,
run_002,3,13,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14,16,9,7,0,56.2,
run_002,3,14,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14;AS21,15,8,7,0,53.3,
run_002,3,15,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14;AS21;AS27,14,7,7,0,50.0,
run_002,3,16,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14;AS21;AS27;AS30,13,6,7,0,46.2,
run_002,3,17,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14;AS21;AS27;AS30;AS13,12,6,6,0,50.0,
run_002,3,18,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14;AS21;AS27;AS30;AS13;AS22,11,5,6,0,45.5,
run_002,3,19,AS12,AS23;AS16;AS17;AS26;AS29;AS19;AS18;AS15;AS20;AS25;AS28;AS24;AS14;AS21;AS27;AS30;AS13;AS22;AS11,10,5,5,0,50.0,
run_003,1,1,AS13,AS3,28,16,12,0,57.1,
run_003,1,2,AS13,AS3;AS2,27,16,11,0,59.3,
run_003,1,3,AS13,AS3;AS2;AS1,26,16,10,0,61.5,
run_003,2,1,AS13,AS4,28,17,11,0,60.7,
run_003,2,2,AS13,AS4;AS8,27,21,6,0,77.8,
run_003,2,3,AS13,AS4;AS8;AS5,26,26,0,0,100.0,
run_003,2,4,AS13,AS4;AS8;AS5;AS7,25,25,0,0,100.0,
run_003,2,5,AS13,AS4;AS8;AS5;AS7;AS10,24,24,0,0,100.0,
run_003,2,6,AS13,AS4;AS8;AS5;AS7;AS10;AS9,23,23,0,0,100.0,
run_003,2,7,AS13,AS4;AS8;AS5;AS7;AS10;AS9;AS6,22,22,0,0,100.0,
run_003,3,1,AS13,AS26,28,0,28,0,0.0,
run_003,3,2,AS13,AS26;AS20,27,16,11,0,59.3,
run_003,3,3,AS13,AS26;AS20;AS17,26,21,5,0,80.8,
run_003,3,4,AS13,AS26;AS20;AS17;AS30,25,20,5,0,80.0,
run_003,3,5,AS13,AS26;AS20;AS17;AS30;AS19,24,19,5,0,79.2,
run_003,3,6,AS13,AS26;AS20;AS17;AS30;AS19;AS11,23,20,3,0,87.0,
run_003,3,7,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16,22,19,3,0,86.4,
run_003,3,8,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28,21,18,3,0,85.7,
run_003,3,9,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23,20,17,3,0,85.0,
run_003,3,10,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24,19,16,3,0,84.2,
run_003,3,11,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27,18,15,3,0,83.3,
run_003,3,12,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22,17,14,3,0,82.4,
run_003,3,13,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29,16,13,3,0,81.2,
run_003,3,14,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29;AS12,15,12,3,0,80.0,
run_003,3,15,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29;AS12;AS14,14,12,2,0,85.7,
run_003,3,16,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29;AS12;AS14;AS25,13,11,2,0,84.6,
run_003,3,17,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29;AS12;AS14;AS25;AS15,12,10,2,0,83.3,
run_003,3,18,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29;AS12;AS14;AS25;AS15;AS18,11,9,2,0,81.8,
run_003,3,19,AS13,AS26;AS20;AS17;AS30;AS19;AS11;AS16;AS28;AS23;AS24;AS27;AS22;AS29;AS12;AS14;AS25;AS15;AS18;AS21,10,8,2,0,80.0,
run_004,1,1,AS20,AS1,28,8,20,0,28.6,
run_004,1,2,AS20,AS1;AS2,27,8,19,0,29.6,
run_004,1,3,AS20,AS1;AS2;AS3,26,8,18,0,30.8,
run_004,2,1,AS20,AS5,28,14,14,0,50.0,
run_004,2,2,AS20,AS5;AS10,27,18,9,0,66.7,
run_004,2,3,AS20,AS5;AS10;AS9,26,23,3,0,88.5,
run_004,2,4,AS20,AS5;AS10;AS9;AS7,25,22,3,0,88.0,
run_004,2,5,AS20,AS5;AS10;AS9;AS7;AS8,24,24,0,0,100.0,
run_004,2,6,AS20,AS5;AS10;AS9;AS7;AS8;AS6,23,23,0,0,100.0,
run_004,2,7,AS20,AS5;AS10;AS9;AS7;AS8;AS6;AS4,22,22,0,0,100.0,
run_004,3,1,AS20,AS22,28,6,22,0,21.4,
run_004,3,2,AS20,AS22;AS12,27,16,11,0,59.3,
run_004,3,3,AS20,AS22;AS12;AS28,26,17,9,0,65.4,
run_004,3,4,AS20,AS22;AS12;AS28;AS19,25,13,12,0,52.0,
run_004,3,5,AS20,AS22;AS12;AS28;AS19;AS11,24,16,8,0,66.7,
run_004,3,6,AS20,AS22;AS12;AS28;AS19;AS11;AS27,23,18,5,0,78.3,
run_004,3,7,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30,22,18,4,0,81.8,
run_004,3,8,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13,21,17,4,0,81.0,
run_004,3,9,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29,20,17,3,0,85.0,
run_004,3,10,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17,19,16,3,0,84.2,
run_004,3,11,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15,18,15,3,0,83.3,
run_004,3,12,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25,17,14,3,0,82.4,
run_004,3,13,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14,16,13,3,0,81.2,
run_004,3,14,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14;AS21,15,13,2,0,86.7,
run_004,3,15,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14;AS21;AS26,14,12,2,0,85.7,
run_004,3,16,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14;AS21;AS26;AS24,13,11,2,0,84.6,
run_004,3,17,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14;AS21;AS26;AS24;AS18,12,10,2,0,83.3,
run_004,3,18,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14;AS21;AS26;AS24;AS18;AS23,11,9,2,0,81.8,
run_004,3,19,AS20,AS22;AS12;AS28;AS19;AS11;AS27;AS30;AS13;AS29;AS17;AS15;AS25;AS14;AS21;AS26;AS24;AS18;AS23;AS16,10,8,2,0,80.0,
run_005,1,1,AS18,AS3,28,4,24,0,14.3,
run_005,1,2,AS18,AS3;AS2,27,8,19,0,29.6,
run_005,1,3,AS18,AS3;AS2;AS1,26,8,18,0,30.8,
run_005,2,1,AS18,AS9,28,15,13,0,53.6,
run_005,2,2,AS18,AS9;AS5,27,18,9,0,66.7,
run_005,2,3,AS18,AS9;AS5;AS6,26,17,9,0,65.4,
run_005,2,4,AS18,AS9;AS5;AS6;AS7,25,22,3,0,88.0,
run_005,2,5,AS18,AS9;AS5;AS6;AS7;AS4,24,21,3,0,87.5,
run_005,2,6,AS18,AS9;AS5;AS6;AS7;AS4;AS10,23,20,3,0,87.0,
run_005,2,7,AS18,AS9;AS5;AS6;AS7;AS4;AS10;AS8,22,22,0,0,100.0,
run_005,3,1,AS18,AS26,28,9,19,0,32.1,
run_005,3,2,AS18,AS26;AS22,27,15,12,0,55.6,
run_005,3,3,AS18,AS26;AS22;AS23,26,14,12,0,53.8,
run_005,3,4,AS18,AS26;AS22;AS23;AS25,25,14,11,0,56.0,
run_005,3,5,AS18,AS26;AS22;AS23;AS25;AS14,24,17,7,0,70.8,
run_005,3,6,AS18,AS26;AS22;AS23;AS25;AS14;AS29,23,17,6,0,73.9,
run_005,3,7,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17,22,17,5,0,77.3,
run_005,3,8,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15,21,16,5,0,76.2,
run_005,3,9,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21,20,15,5,0,75.0,
run_005,3,10,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24,19,14,5,0,73.7,
run_005,3,11,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12,18,13,5,0,72.2,
run_005,3,12,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27,17,12,5,0,70.6,
run_005,3,13,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16,16,11,5,0,68.8,
run_005,3,14,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16;AS30,15,10,5,0,66.7,
run_005,3,15,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16;AS30;AS28,14,10,4,0,71.4,
run_005,3,16,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16;AS30;AS28;AS11,13,9,4,0,69.2,
run_005,3,17,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16;AS30;AS28;AS11;AS20,12,9,3,0,75.0,
run_005,3,18,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16;AS30;AS28;AS11;AS20;AS13,11,8,3,0,72.7,
run_005,3,19,AS18,AS26;AS22;AS23;AS25;AS14;AS29;AS17;AS15;AS21;AS24;AS12;AS27;AS16;AS30;AS28;AS11;AS20;AS13;AS19,10,8,2,0,80.0,
run_006,1,1,AS19,AS3,28,15,13,0,53.6,
run_006,1,2,AS19,AS3;AS2,27,16,11,0,59.3,
run_006,1,3,AS19,AS3;AS2;AS1,26,16,10,0,61.5,
run_006,2,1,AS19,AS6,28,20,8,0,71.4,
run_006,2,2,AS19,AS6;AS8,27,27,0,0,100.0,
run_006,2,3,AS19,AS6;AS8;AS9,26,26,0,0,100.0,
run_006,2,4,AS19,AS6;AS8;AS9;AS10,25,25,0,0,100.0,
run_006,2,5,AS19,AS6;AS8;AS9;AS10;AS4,24,24,0,0,100.0,
run_006,2,6,AS19,AS6;AS8;AS9;AS10;AS4;AS5,23,23,0,0,100.0,
run_006,2,7,AS19,AS6;AS8;AS9;AS10;AS4;AS5;AS7,22,22,0,0,100.0,
run_006,3,1,AS19,AS17,28,21,7,0,75.0,
run_006,3,2,AS19,AS17;AS20,27,21,6,0,77.8,
run_006,3,3,AS19,AS17;AS20;AS29,26,21,5,0,80.8,
run_006,3,4,AS19,AS17;AS20;AS29;AS14,25,24,1,0,96.0,
run_006,3,5,AS19,AS17;AS20;AS29;AS14;AS26,24,23,1,0,95.8,
run_006,3,6,AS19,AS17;AS20;AS29;AS14;AS26;AS28,23,22,1,0,95.7,
run_006,3,7,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18,22,21,1,0,95.5,
run_006,3,8,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27,21,20,1,0,95.2,
run_006,3,9,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23,20,19,1,0,95.0,
run_006,3,10,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15,19,18,1,0,94.7,
run_006,3,11,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13,18,17,1,0,94.4,
run_006,3,12,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25,17,16,1,0,94.1,
run_006,3,13,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16,16,15,1,0,93.8,
run_006,3,14,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16;AS30,15,14,1,0,93.3,
run_006,3,15,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16;AS30;AS22,14,13,1,0,92.9,
run_006,3,16,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16;AS30;AS22;AS21,13,12,1,0,92.3,
run_006,3,17,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16;AS30;AS22;AS21;AS24,12,11,1,0,91.7,
run_006,3,18,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16;AS30;AS22;AS21;AS24;AS12,11,10,1,0,90.9,
run_006,3,19,AS19,AS17;AS20;AS29;AS14;AS26;AS28;AS18;AS27;AS23;AS15;AS13;AS25;AS16;AS30;AS22;AS21;AS24;AS12;AS11,10,9,1,0,90.0,
run_007,1,1,AS11,AS3,28,13,15,0,46.4,
run_007,1,2,AS11,AS3;AS1,27,16,11,0,59.3,
run_007,1,3,AS11,AS3;AS1;AS2,26,16,10,0,61.5,
run_007,2,1,AS11,AS4,28,28,0,0,100.0,
run_007,2,2,AS11,AS4;AS7,27,27,0,0,100.0,
run_007,2,3,AS11,AS4;AS7;AS6,26,26,0,0,100.0,
run_007,2,4,AS11,AS4;AS7;AS6;AS5,25,25,0,0,100.0,
run_007,2,5,AS11,AS4;AS7;AS6;AS5;AS9,24,24,0,0,100.0,
run_007,2,6,AS11,AS4;AS7;AS6;AS5;AS9;AS8,23,23,0,0,100.0,
run_007,2,7,AS11,AS4;AS7;AS6;AS5;AS9;AS8;AS10,22,22,0,0,100.0,
run_007,3,1,AS11,AS28,28,8,20,0,28.6,
run_007,3,2,AS11,AS28;AS18,27,27,0,0,100.0,
run_007,3,3,AS11,AS28;AS18;AS26,26,14,12,0,53.8,
run_007,3,4,AS11,AS28;AS18;AS26;AS29,25,13,12,0,52.0,
run_007,3,5,AS11,AS28;AS18;AS26;AS29;AS20,24,16,8,0,66.7,
run_007,3,6,AS11,AS28;AS18;AS26;AS29;AS20;AS30,23,15,8,0,65.2,
run_007,3,7,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16,22,14,8,0,63.6,
run_007,3,8,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23,21,16,5,0,76.2,
run_007,3,9,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22,20,15,5,0,75.0,
run_007,3,10,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27,19,14,5,0,73.7,
run_007,3,11,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19,18,13,5,0,72.2,
run_007,3,12,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15,17,12,5,0,70.6,
run_007,3,13,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13,16,11,5,0,68.8,
run_007,3,14,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13;AS25,15,11,4,0,73.3,
run_007,3,15,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13;AS25;AS24,14,10,4,0,71.4,
run_007,3,16,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13;AS25;AS24;AS17,13,9,4,0,69.2,
run_007,3,17,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13;AS25;AS24;AS17;AS14,12,8,4,0,66.7,
run_007,3,18,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13;AS25;AS24;AS17;AS14;AS12,11,8,3,0,72.7,
run_007,3,19,AS11,AS28;AS18;AS26;AS29;AS20;AS30;AS16;AS23;AS22;AS27;AS19;AS15;AS13;AS25;AS24;AS17;AS14;AS12;AS21,10,7,3,0,70.0,
run_008,1,1,AS29,AS3,28,15,13,0,53.6,
run_008,1,2,AS29,AS3;AS2,27,16,11,0,59.3,
run_008,1,3,AS29,AS3;AS2;AS1,26,16,10,0,61.5,
run_008,2,1,AS29,AS8,28,28,0,0,100.0,
run_008,2,2,AS29,AS8;AS10,27,27,0,0,100.0,
run_008,2,3,AS29,AS8;AS10;AS5,26,26,0,0,100.0,
run_008,2,4,AS29,AS8;AS10;AS5;AS7,25,25,0,0,100.0,
run_008,2,5,AS29,AS8;AS10;AS5;AS7;AS6,24,24,0,0,100.0,
run_008,2,6,AS29,AS8;AS10;AS5;AS7;AS6;AS4,23,23,0,0,100.0,
run_008,2,7,AS29,AS8;AS10;AS5;AS7;AS6;AS4;AS9,22,22,0,0,100.0,
run_008,3,1,AS29,AS12,28,20,8,0,71.4,
run_008,3,2,AS29,AS12;AS25,27,19,8,0,70.4,
run_008,3,3,AS29,AS12;AS25;AS24,26,18,8,0,69.2,
run_008,3,4,AS29,AS12;AS25;AS24;AS30,25,17,8,0,68.0,
run_008,3,5,AS29,AS12;AS25;AS24;AS30;AS19,24,17,7,0,70.8,
run_008,3,6,AS29,AS12;AS25;AS24;AS30;AS19;AS16,23,21,2,0,91.3,
run_008,3,7,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20,22,21,1,0,95.5,
run_008,3,8,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17,21,20,1,0,95.2,
run_008,3,9,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13,20,19,1,0,95.0,
run_008,3,10,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22,19,18,1,0,94.7,
run_008,3,11,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11,18,17,1,0,94.4,
run_008,3,12,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26,17,17,0,0,100.0,
run_008,3,13,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15,16,15,1,0,93.8,
run_008,3,14,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15;AS18,15,14,1,0,93.3,
run_008,3,15,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15;AS18;AS14,14,13,1,0,92.9,
run_008,3,16,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15;AS18;AS14;AS21,13,12,1,0,92.3,
run_008,3,17,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15;AS18;AS14;AS21;AS28,12,11,1,0,91.7,
run_008,3,18,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15;AS18;AS14;AS21;AS28;AS23,11,10,1,0,90.9,
run_008,3,19,AS29,AS12;AS25;AS24;AS30;AS19;AS16;AS20;AS17;AS13;AS22;AS11;AS26;AS15;AS18;AS14;AS21;AS28;AS23;AS27,10,9,1,0,90.0,
run_009,1,1,AS14,AS1,28,8,20,0,28.6,
run_009,1,2,AS14,AS1;AS3,27,8,19,0,29.6,
run_009,1,3,AS14,AS1;AS3;AS2,26,8,18,0,30.8,
run_009,2,1,AS14,AS7,28,13,15,0,46.4,
run_009,2,2,AS14,AS7;AS10,27,13,14,0,48.1,
run_009,2,3,AS14,AS7;AS10;AS4,26,16,10,0,61.5,
run_009,2,4,AS14,AS7;AS10;AS4;AS8,25,19,6,0,76.0,
run_009,2,5,AS14,AS7;AS10;AS4;AS8;AS6,24,21,3,0,87.5,
run_009,2,6,AS14,AS7;AS10;AS4;AS8;AS6;AS9,23,20,3,0,87.0,
run_009,2,7,AS14,AS7;AS10;AS4;AS8;AS6;AS9;AS5,22,22,0,0,100.0,
run_009,3,1,AS14,AS12,28,12,16,0,42.9,
run_009,3,2,AS14,AS12;AS20,27,16,11,0,59.3,
run_009,3,3,AS14,AS12;AS20;AS17,26,18,8,0,69.2,
run_009,3,4,AS14,AS12;AS20;AS17;AS23,25,17,8,0,68.0,
run_009,3,5,AS14,AS12;AS20;AS17;AS23;AS11,24,16,8,0,66.7,
run_009,3,6,AS14,AS12;AS20;AS17;AS23;AS11;AS29,23,15,8,0,65.2,
run_009,3,7,AS14,AS12;AS20;AS17;AS23;AS11;AS29;AS16,22,15,7,0,68.2,
run_009,3,8,AS14,AS12;AS20;AS17;AS23;AS11;AS29;AS16;AS22,21,14,7,0,66.7,
run_009,3,9,AS14,AS12;AS20;AS17;AS23;AS11;AS29;AS16;AS22;AS26,20,14,6,0,70.0,
run_009,3,10,AS14,AS12;AS20;AS17;AS23;AS11;AS29;AS16;AS22;AS26;AS19,19,13,6,0,68.4,
run_009,3,11,AS14,AS12;AS20;AS17;AS23;AS11;AS29;AS16;AS22;AS26;AS19;AS21,18,12,6,0,66.7,
